a1,a2,a3,a4,dec
7.4,0.7,0,3.51,5
7.8,0.88,0,3.2,5
7.8,0.76,0.04,3.26,5
11.2,0.28,0.56,3.16,6
7.4,0.7,0,3.51,5
7.4,0.66,0,3.51,5
7.9,0.6,0.06,3.3,5
7.3,0.65,0,3.39,7
7.8,0.58,0.02,3.36,7
7.5,0.5,0.36,3.35,5
6.7,0.58,0.08,3.28,5
7.5,0.5,0.36,3.35,5
5.6,0.615,0,3.58,5
7.8,0.61,0.29,3.26,5
8.9,0.62,0.18,3.16,5
8.9,0.62,0.19,3.17,5
8.5,0.28,0.56,3.3,7
8.1,0.56,0.28,3.11,5
7.4,0.59,0.08,3.38,4
8.9,0.22,0.48,3.39,6
7.6,0.39,0.31,3.52,5
8.5,0.49,0.11,3.17,5
6.9,0.4,0.14,3.43,6
6.3,0.39,0.16,3.34,5
7.6,0.41,0.24,3.28,5
7.1,0.71,0,3.47,5
7.8,0.645,0,3.38,6
6.7,0.675,0.07,3.35,5
8.3,0.655,0.12,3.17,5
5.2,0.32,0.25,3.38,5
7.8,0.645,0,3.4,6
7.8,0.6,0.14,3.42,6
8.1,0.38,0.28,3.23,7
5.7,1.13,0.09,3.5,4
7.3,0.45,0.36,3.33,5
7.3,0.45,0.36,3.33,5
8.8,0.61,0.3,3.26,4
7.5,0.49,0.2,3.21,6
8.1,0.66,0.22,3.3,5
6.8,0.67,0.02,3.48,5
4.6,0.52,0.15,3.9,4
7.7,0.935,0.43,3.25,5
8.7,0.29,0.52,3.25,5
6.4,0.4,0.23,3.34,5
5.6,0.31,0.37,3.32,5
8.8,0.66,0.26,3.15,5
6.6,0.52,0.04,3.4,6
6.6,0.5,0.04,3.39,6
8.6,0.38,0.36,3.2,5
7.6,0.51,0.15,3.17,6
10.2,0.42,0.57,3.04,5
7.5,0.63,0.12,3.26,5
7.8,0.59,0.18,3.43,5
7.3,0.39,0.31,3.41,6
8.8,0.4,0.4,3.44,5
7.5,0.52,0.16,3.38,7
7,0.735,0.05,3.39,5
7.2,0.725,0.05,3.41,5
7.2,0.725,0.05,3.41,5
7.5,0.52,0.11,3.42,5
6.6,0.705,0.07,3.44,5
9.3,0.32,0.57,3.28,5
8,0.705,0.05,3.34,6
8.3,0.675,0.26,3.31,4
9.7,0.32,0.54,3.28,5
8.8,0.41,0.64,3.54,5
8.8,0.41,0.64,3.54,5
6.8,0.785,0,3.52,6
6.7,0.75,0.12,3.38,5
8.3,0.625,0.2,3.16,4
6.2,0.45,0.2,3.41,5
7.8,0.43,0.7,3.13,5
7.4,0.5,0.47,3.36,5
7.3,0.67,0.26,3.16,5
6.3,0.3,0.48,3.44,6
6.9,0.55,0.15,3.41,5
8.6,0.49,0.28,2.93,6
7.7,0.49,0.26,3.39,5
